danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,target
0.479,0.369,5,-10.171,1,0.0282,0.659,0.0808,0.106,0.233,127.822,audio_features,06T3xyN0Gx1U4FyifkwLsk,spotify:track:06T3xyN0Gx1U4FyifkwLsk,https://api.spotify.com/v1/tracks/06T3xyN0Gx1U4FyifkwLsk,https://api.spotify.com/v1/audio-analysis/06T3xyN0Gx1U4FyifkwLsk,245427,4,1
0.643,0.723,0,-6.675,1,0.0409,0.198,0.000511,0.393,0.5,120.016,audio_features,1vf60wbiDrRssSLmWG68je,spotify:track:1vf60wbiDrRssSLmWG68je,https://api.spotify.com/v1/tracks/1vf60wbiDrRssSLmWG68je,https://api.spotify.com/v1/audio-analysis/1vf60wbiDrRssSLmWG68je,293000,4,1
0.537,0.568,0,-5.872,1,0.0246,0.256,4.01e-06,0.0628,0.467,82.025,audio_features,0hXPBfMNwFzRyWcqv8BZxw,spotify:track:0hXPBfMNwFzRyWcqv8BZxw,https://api.spotify.com/v1/tracks/0hXPBfMNwFzRyWcqv8BZxw,https://api.spotify.com/v1/audio-analysis/0hXPBfMNwFzRyWcqv8BZxw,240840,4,1
0.432,0.77,6,-4.813,0,0.0371,0.000406,0.00196,0.11,0.164,122.522,audio_features,2v05RhwIQx3zbN8O72Ff69,spotify:track:2v05RhwIQx3zbN8O72Ff69,https://api.spotify.com/v1/tracks/2v05RhwIQx3zbN8O72Ff69,https://api.spotify.com/v1/audio-analysis/2v05RhwIQx3zbN8O72Ff69,182147,4,1
0.538,0.304,9,-11.79,1,0.0352,0.613,0.000631,0.164,0.065,78.997,audio_features,4qUtC2BwFC154Ha8YQRrkk,spotify:track:4qUtC2BwFC154Ha8YQRrkk,https://api.spotify.com/v1/tracks/4qUtC2BwFC154Ha8YQRrkk,https://api.spotify.com/v1/audio-analysis/4qUtC2BwFC154Ha8YQRrkk,228071,3,1
0.692,0.38,10,-8.138,1,0.0392,0.533,0.129,0.379,0.764,87.63,audio_features,556b0qVFXcn1eXz1JYXHKg,spotify:track:556b0qVFXcn1eXz1JYXHKg,https://api.spotify.com/v1/tracks/556b0qVFXcn1eXz1JYXHKg,https://api.spotify.com/v1/audio-analysis/556b0qVFXcn1eXz1JYXHKg,205503,4,1
0.588,0.825,4,-5.882,1,0.0328,0.000197,0.00138,0.0885,0.397,129.968,audio_features,5zyCYmiaVE5y26EZuwZbsw,spotify:track:5zyCYmiaVE5y26EZuwZbsw,https://api.spotify.com/v1/tracks/5zyCYmiaVE5y26EZuwZbsw,https://api.spotify.com/v1/audio-analysis/5zyCYmiaVE5y26EZuwZbsw,295187,4,1
0.665,0.545,9,-7.208,0,0.0332,0.0136,0.000161,0.226,0.584,114.995,audio_features,0eyQSNrnZ7vKs1q0bQlN8O,spotify:track:0eyQSNrnZ7vKs1q0bQlN8O,https://api.spotify.com/v1/tracks/0eyQSNrnZ7vKs1q0bQlN8O,https://api.spotify.com/v1/audio-analysis/0eyQSNrnZ7vKs1q0bQlN8O,261130,4,1
0.496,0.603,8,-8.574,1,0.0254,0.85,0.632,0.0875,0.686,88.07,audio_features,7jkHVuECK0AQRPPbvqqacO,spotify:track:7jkHVuECK0AQRPPbvqqacO,https://api.spotify.com/v1/tracks/7jkHVuECK0AQRPPbvqqacO,https://api.spotify.com/v1/audio-analysis/7jkHVuECK0AQRPPbvqqacO,199307,4,1
0.587,0.474,7,-5.716,1,0.0331,0.133,0.619,0.0816,0.372,155.259,audio_features,34vfgWxlPpSXghcRusmFrZ,spotify:track:34vfgWxlPpSXghcRusmFrZ,https://api.spotify.com/v1/tracks/34vfgWxlPpSXghcRusmFrZ,https://api.spotify.com/v1/audio-analysis/34vfgWxlPpSXghcRusmFrZ,217940,4,1
